,name,time
20,刁民-酸菜魚 信義店,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 11, 0), datetime.datetime(2026, 3, 23, 2, 0))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 11, 0), datetime.datetime(2026, 3, 24, 2, 0))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 11, 0), datetime.datetime(2026, 3, 25, 2, 0))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 11, 0), datetime.datetime(2026, 3, 25, 23, 59))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 0, 0), datetime.datetime(2026, 3, 19, 2, 0)), (datetime.datetime(2026, 3, 19, 11, 0), datetime.datetime(2026, 3, 20, 2, 0))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 11, 0), datetime.datetime(2026, 3, 21, 2, 0))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 11, 0), datetime.datetime(2026, 3, 22, 2, 0))]}"
21,Meat Love橡木炭火韓國烤肉 信義店,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 12, 0), datetime.datetime(2026, 3, 22, 22, 0))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 12, 0), datetime.datetime(2026, 3, 23, 22, 0))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 12, 0), datetime.datetime(2026, 3, 24, 22, 0))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 12, 0), datetime.datetime(2026, 3, 25, 22, 0))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 12, 0), datetime.datetime(2026, 3, 20, 0, 0))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 12, 0), datetime.datetime(2026, 3, 21, 0, 0))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 12, 0), datetime.datetime(2026, 3, 22, 0, 0))]}"
22,傑克兄弟牛排館臺北信義店,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 11, 30), datetime.datetime(2026, 3, 22, 15, 0)), (datetime.datetime(2026, 3, 22, 17, 0), datetime.datetime(2026, 3, 22, 22, 0))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 11, 30), datetime.datetime(2026, 3, 23, 15, 0)), (datetime.datetime(2026, 3, 23, 17, 0), datetime.datetime(2026, 3, 23, 22, 0))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 11, 30), datetime.datetime(2026, 3, 24, 15, 0)), (datetime.datetime(2026, 3, 24, 17, 0), datetime.datetime(2026, 3, 24, 22, 0))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 11, 30), datetime.datetime(2026, 3, 25, 15, 0)), (datetime.datetime(2026, 3, 25, 17, 0), datetime.datetime(2026, 3, 25, 22, 0))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 11, 30), datetime.datetime(2026, 3, 19, 15, 0)), (datetime.datetime(2026, 3, 19, 17, 0), datetime.datetime(2026, 3, 19, 22, 0))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 11, 30), datetime.datetime(2026, 3, 20, 15, 0)), (datetime.datetime(2026, 3, 20, 17, 0), datetime.datetime(2026, 3, 20, 22, 0))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 11, 30), datetime.datetime(2026, 3, 21, 15, 0)), (datetime.datetime(2026, 3, 21, 17, 0), datetime.datetime(2026, 3, 21, 22, 0))]}"
23,溫度小館Chaleureux,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 11, 30), datetime.datetime(2026, 3, 22, 14, 30)), (datetime.datetime(2026, 3, 22, 17, 30), datetime.datetime(2026, 3, 22, 21, 30))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 11, 30), datetime.datetime(2026, 3, 23, 14, 30)), (datetime.datetime(2026, 3, 23, 17, 30), datetime.datetime(2026, 3, 23, 21, 30))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 11, 30), datetime.datetime(2026, 3, 24, 14, 30)), (datetime.datetime(2026, 3, 24, 17, 30), datetime.datetime(2026, 3, 24, 21, 30))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 11, 30), datetime.datetime(2026, 3, 19, 14, 30)), (datetime.datetime(2026, 3, 19, 17, 30), datetime.datetime(2026, 3, 19, 21, 30))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 11, 30), datetime.datetime(2026, 3, 20, 14, 30)), (datetime.datetime(2026, 3, 20, 17, 30), datetime.datetime(2026, 3, 20, 21, 30))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 11, 30), datetime.datetime(2026, 3, 21, 14, 30)), (datetime.datetime(2026, 3, 21, 17, 30), datetime.datetime(2026, 3, 21, 21, 30))]}"
24,伍柒玖牛肉麵飯館,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 10, 30), datetime.datetime(2026, 3, 22, 21, 30))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 10, 30), datetime.datetime(2026, 3, 23, 21, 30))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 10, 30), datetime.datetime(2026, 3, 24, 21, 30))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 10, 30), datetime.datetime(2026, 3, 25, 21, 30))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 10, 30), datetime.datetime(2026, 3, 19, 21, 30))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 10, 30), datetime.datetime(2026, 3, 20, 21, 30))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 10, 30), datetime.datetime(2026, 3, 21, 21, 30))]}"
25,深夜未歸-永春店,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 17, 0), datetime.datetime(2026, 3, 23, 6, 0))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 17, 0), datetime.datetime(2026, 3, 24, 6, 0))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 17, 0), datetime.datetime(2026, 3, 25, 6, 0))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 17, 0), datetime.datetime(2026, 3, 25, 23, 59))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 0, 0), datetime.datetime(2026, 3, 19, 6, 0)), (datetime.datetime(2026, 3, 19, 17, 0), datetime.datetime(2026, 3, 20, 6, 0))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 17, 0), datetime.datetime(2026, 3, 21, 6, 0))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 17, 0), datetime.datetime(2026, 3, 22, 6, 0))]}"
26,滝禾製麵所 大安瑞安店(拉麵專賣),"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 11, 30), datetime.datetime(2026, 3, 22, 21, 0))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 11, 30), datetime.datetime(2026, 3, 23, 21, 0))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 11, 30), datetime.datetime(2026, 3, 24, 21, 0))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 11, 30), datetime.datetime(2026, 3, 25, 21, 0))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 11, 30), datetime.datetime(2026, 3, 19, 21, 0))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 11, 30), datetime.datetime(2026, 3, 20, 21, 0))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 11, 30), datetime.datetime(2026, 3, 21, 21, 0))]}"
27,堤諾義大利比薩 Tino's Pizza 台北莊敬店,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 11, 0), datetime.datetime(2026, 3, 22, 21, 0))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 11, 0), datetime.datetime(2026, 3, 23, 21, 0))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 11, 0), datetime.datetime(2026, 3, 24, 21, 0))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 11, 0), datetime.datetime(2026, 3, 25, 21, 0))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 11, 0), datetime.datetime(2026, 3, 19, 21, 0))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 11, 0), datetime.datetime(2026, 3, 20, 21, 0))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 11, 0), datetime.datetime(2026, 3, 21, 21, 0))]}"
28,すき家信義安和,"{datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 0, 0), datetime.datetime(2026, 3, 25, 23, 59))]}"
29,燒肉の名門 赤虎-信義安和店,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 11, 30), datetime.datetime(2026, 3, 22, 16, 0)), (datetime.datetime(2026, 3, 22, 17, 0), datetime.datetime(2026, 3, 22, 22, 0))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 11, 30), datetime.datetime(2026, 3, 23, 14, 30)), (datetime.datetime(2026, 3, 23, 17, 30), datetime.datetime(2026, 3, 23, 22, 0))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 11, 30), datetime.datetime(2026, 3, 24, 14, 30)), (datetime.datetime(2026, 3, 24, 17, 30), datetime.datetime(2026, 3, 24, 22, 0))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 11, 30), datetime.datetime(2026, 3, 25, 14, 30)), (datetime.datetime(2026, 3, 25, 17, 30), datetime.datetime(2026, 3, 25, 22, 0))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 11, 30), datetime.datetime(2026, 3, 19, 14, 30)), (datetime.datetime(2026, 3, 19, 17, 30), datetime.datetime(2026, 3, 19, 22, 0))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 11, 30), datetime.datetime(2026, 3, 20, 14, 30)), (datetime.datetime(2026, 3, 20, 17, 30), datetime.datetime(2026, 3, 20, 22, 0))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 11, 30), datetime.datetime(2026, 3, 21, 16, 0)), (datetime.datetime(2026, 3, 21, 17, 0), datetime.datetime(2026, 3, 21, 22, 0))]}"
30,人从众厚切牛排(台北北醫店),"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 11, 0), datetime.datetime(2026, 3, 22, 21, 30))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 11, 0), datetime.datetime(2026, 3, 23, 21, 30))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 11, 0), datetime.datetime(2026, 3, 24, 21, 30))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 11, 0), datetime.datetime(2026, 3, 25, 21, 30))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 11, 0), datetime.datetime(2026, 3, 19, 21, 30))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 11, 0), datetime.datetime(2026, 3, 20, 21, 30))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 11, 0), datetime.datetime(2026, 3, 21, 21, 30))]}"
31,職人丼深夜食堂 信義店,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 11, 0), datetime.datetime(2026, 3, 22, 14, 0)), (datetime.datetime(2026, 3, 22, 17, 0), datetime.datetime(2026, 3, 22, 22, 0))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 11, 0), datetime.datetime(2026, 3, 23, 14, 0)), (datetime.datetime(2026, 3, 23, 17, 0), datetime.datetime(2026, 3, 23, 22, 0))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 11, 0), datetime.datetime(2026, 3, 24, 14, 0)), (datetime.datetime(2026, 3, 24, 17, 0), datetime.datetime(2026, 3, 24, 22, 0))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 11, 0), datetime.datetime(2026, 3, 25, 14, 0)), (datetime.datetime(2026, 3, 25, 17, 0), datetime.datetime(2026, 3, 25, 22, 0))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 11, 0), datetime.datetime(2026, 3, 19, 14, 0)), (datetime.datetime(2026, 3, 19, 17, 0), datetime.datetime(2026, 3, 19, 22, 0))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 11, 0), datetime.datetime(2026, 3, 20, 14, 0)), (datetime.datetime(2026, 3, 20, 17, 0), datetime.datetime(2026, 3, 20, 22, 0))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 11, 0), datetime.datetime(2026, 3, 21, 14, 0)), (datetime.datetime(2026, 3, 21, 17, 0), datetime.datetime(2026, 3, 21, 22, 0))]}"
32,蔬軾．安和店,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 11, 30), datetime.datetime(2026, 3, 22, 14, 30)), (datetime.datetime(2026, 3, 22, 17, 30), datetime.datetime(2026, 3, 22, 21, 0))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 11, 30), datetime.datetime(2026, 3, 23, 14, 30)), (datetime.datetime(2026, 3, 23, 17, 30), datetime.datetime(2026, 3, 23, 21, 0))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 11, 30), datetime.datetime(2026, 3, 24, 14, 30)), (datetime.datetime(2026, 3, 24, 17, 30), datetime.datetime(2026, 3, 24, 21, 0))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 11, 30), datetime.datetime(2026, 3, 25, 14, 30)), (datetime.datetime(2026, 3, 25, 17, 30), datetime.datetime(2026, 3, 25, 21, 0))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 11, 30), datetime.datetime(2026, 3, 19, 14, 30)), (datetime.datetime(2026, 3, 19, 17, 30), datetime.datetime(2026, 3, 19, 21, 0))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 11, 30), datetime.datetime(2026, 3, 20, 14, 30)), (datetime.datetime(2026, 3, 20, 17, 30), datetime.datetime(2026, 3, 20, 21, 0))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 11, 30), datetime.datetime(2026, 3, 21, 14, 30)), (datetime.datetime(2026, 3, 21, 17, 30), datetime.datetime(2026, 3, 21, 21, 0))]}"
33,亞米小廚 yummy kitchenette,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 11, 30), datetime.datetime(2026, 3, 22, 15, 0)), (datetime.datetime(2026, 3, 22, 16, 30), datetime.datetime(2026, 3, 22, 22, 0))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 11, 30), datetime.datetime(2026, 3, 23, 15, 0)), (datetime.datetime(2026, 3, 23, 16, 30), datetime.datetime(2026, 3, 23, 22, 0))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 11, 30), datetime.datetime(2026, 3, 24, 15, 0)), (datetime.datetime(2026, 3, 24, 16, 30), datetime.datetime(2026, 3, 24, 22, 0))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 11, 30), datetime.datetime(2026, 3, 25, 15, 0)), (datetime.datetime(2026, 3, 25, 16, 30), datetime.datetime(2026, 3, 25, 22, 0))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 11, 30), datetime.datetime(2026, 3, 19, 15, 0)), (datetime.datetime(2026, 3, 19, 16, 30), datetime.datetime(2026, 3, 19, 22, 0))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 11, 30), datetime.datetime(2026, 3, 20, 15, 0)), (datetime.datetime(2026, 3, 20, 16, 30), datetime.datetime(2026, 3, 20, 22, 0))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 11, 30), datetime.datetime(2026, 3, 21, 15, 0)), (datetime.datetime(2026, 3, 21, 16, 30), datetime.datetime(2026, 3, 21, 22, 0))]}"
34,The Chips 信義店,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 11, 0), datetime.datetime(2026, 3, 22, 22, 0))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 11, 0), datetime.datetime(2026, 3, 23, 22, 0))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 11, 0), datetime.datetime(2026, 3, 24, 22, 0))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 11, 0), datetime.datetime(2026, 3, 25, 22, 0))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 11, 0), datetime.datetime(2026, 3, 19, 22, 0))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 11, 0), datetime.datetime(2026, 3, 20, 23, 0))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 11, 0), datetime.datetime(2026, 3, 21, 23, 0))]}"
35,南村小吃店,"{datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 11, 0), datetime.datetime(2026, 3, 23, 14, 30)), (datetime.datetime(2026, 3, 23, 17, 0), datetime.datetime(2026, 3, 23, 21, 0))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 11, 0), datetime.datetime(2026, 3, 24, 14, 30)), (datetime.datetime(2026, 3, 24, 17, 0), datetime.datetime(2026, 3, 24, 21, 0))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 11, 0), datetime.datetime(2026, 3, 25, 14, 30)), (datetime.datetime(2026, 3, 25, 17, 0), datetime.datetime(2026, 3, 25, 21, 0))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 11, 0), datetime.datetime(2026, 3, 19, 14, 30)), (datetime.datetime(2026, 3, 19, 17, 0), datetime.datetime(2026, 3, 19, 21, 0))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 11, 0), datetime.datetime(2026, 3, 20, 14, 30)), (datetime.datetime(2026, 3, 20, 17, 0), datetime.datetime(2026, 3, 20, 21, 0))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 11, 0), datetime.datetime(2026, 3, 21, 14, 30)), (datetime.datetime(2026, 3, 21, 17, 0), datetime.datetime(2026, 3, 21, 21, 0))]}"
