,name,time
10,搗飛豆花,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 12, 0), datetime.datetime(2026, 3, 22, 22, 30))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 12, 0), datetime.datetime(2026, 3, 23, 22, 30))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 12, 0), datetime.datetime(2026, 3, 24, 22, 30))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 12, 0), datetime.datetime(2026, 3, 25, 22, 30))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 12, 0), datetime.datetime(2026, 3, 19, 22, 30))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 12, 0), datetime.datetime(2026, 3, 20, 22, 30))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 12, 0), datetime.datetime(2026, 3, 21, 22, 30))]}"
11,雞優穀養生藥膳-吳興店-信義區美食 信義區小吃 信義區煲湯 信義區麻油雞 吳興街美食,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 11, 0), datetime.datetime(2026, 3, 22, 21, 45))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 11, 0), datetime.datetime(2026, 3, 23, 21, 45))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 11, 0), datetime.datetime(2026, 3, 24, 21, 45))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 11, 0), datetime.datetime(2026, 3, 25, 21, 45))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 11, 0), datetime.datetime(2026, 3, 19, 21, 45))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 11, 0), datetime.datetime(2026, 3, 20, 21, 45))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 11, 0), datetime.datetime(2026, 3, 21, 21, 45))]}"
12,御品元冰火湯圓,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 17, 30), datetime.datetime(2026, 3, 22, 23, 30))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 18, 0), datetime.datetime(2026, 3, 23, 23, 30))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 18, 0), datetime.datetime(2026, 3, 24, 23, 30))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 18, 0), datetime.datetime(2026, 3, 25, 23, 30))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 18, 0), datetime.datetime(2026, 3, 19, 23, 30))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 18, 0), datetime.datetime(2026, 3, 21, 0, 0))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 17, 30), datetime.datetime(2026, 3, 22, 0, 0))]}"
13,饞食坊,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 18, 0), datetime.datetime(2026, 3, 23, 2, 0))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 18, 0), datetime.datetime(2026, 3, 24, 2, 0))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 18, 0), datetime.datetime(2026, 3, 25, 2, 0))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 18, 0), datetime.datetime(2026, 3, 25, 23, 59))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 0, 0), datetime.datetime(2026, 3, 19, 2, 0)), (datetime.datetime(2026, 3, 19, 18, 0), datetime.datetime(2026, 3, 20, 2, 0))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 18, 0), datetime.datetime(2026, 3, 21, 2, 0))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 18, 0), datetime.datetime(2026, 3, 22, 2, 0))]}"
14,Open開房間桌遊餐酒館,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 11, 30), datetime.datetime(2026, 3, 22, 22, 0))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 17, 0), datetime.datetime(2026, 3, 24, 23, 30))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 17, 0), datetime.datetime(2026, 3, 25, 23, 30))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 17, 0), datetime.datetime(2026, 3, 19, 23, 30))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 17, 0), datetime.datetime(2026, 3, 20, 23, 30))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 11, 30), datetime.datetime(2026, 3, 21, 23, 30))]}"
15,Takeout Burger&Cafe 延吉店 （最後點餐21：30）/美式漢堡/寵物友善/大安區美食/貓咪餐廳,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 11, 0), datetime.datetime(2026, 3, 22, 22, 30))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 11, 0), datetime.datetime(2026, 3, 23, 22, 30))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 11, 0), datetime.datetime(2026, 3, 24, 22, 30))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 11, 0), datetime.datetime(2026, 3, 25, 22, 30))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 11, 0), datetime.datetime(2026, 3, 19, 22, 30))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 11, 0), datetime.datetime(2026, 3, 20, 22, 30))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 11, 0), datetime.datetime(2026, 3, 21, 22, 30))]}"
16,人从众厚切牛排(台北復興店),"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 11, 0), datetime.datetime(2026, 3, 22, 23, 0))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 11, 0), datetime.datetime(2026, 3, 23, 23, 0))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 11, 0), datetime.datetime(2026, 3, 24, 23, 0))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 11, 0), datetime.datetime(2026, 3, 25, 23, 0))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 11, 0), datetime.datetime(2026, 3, 19, 23, 0))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 11, 0), datetime.datetime(2026, 3, 20, 23, 0))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 11, 0), datetime.datetime(2026, 3, 21, 23, 0))]}"
17,井上禾食,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 11, 45), datetime.datetime(2026, 3, 22, 14, 0)), (datetime.datetime(2026, 3, 22, 17, 0), datetime.datetime(2026, 3, 22, 20, 0))], datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 11, 45), datetime.datetime(2026, 3, 23, 14, 0)), (datetime.datetime(2026, 3, 23, 17, 0), datetime.datetime(2026, 3, 23, 20, 0))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 11, 45), datetime.datetime(2026, 3, 24, 14, 0)), (datetime.datetime(2026, 3, 24, 17, 0), datetime.datetime(2026, 3, 24, 20, 0))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 11, 45), datetime.datetime(2026, 3, 25, 14, 0)), (datetime.datetime(2026, 3, 25, 17, 0), datetime.datetime(2026, 3, 25, 20, 0))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 11, 45), datetime.datetime(2026, 3, 19, 14, 0)), (datetime.datetime(2026, 3, 19, 17, 0), datetime.datetime(2026, 3, 19, 20, 0))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 11, 45), datetime.datetime(2026, 3, 20, 14, 0)), (datetime.datetime(2026, 3, 20, 17, 0), datetime.datetime(2026, 3, 20, 20, 0))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 11, 45), datetime.datetime(2026, 3, 21, 14, 0)), (datetime.datetime(2026, 3, 21, 17, 0), datetime.datetime(2026, 3, 21, 20, 0))]}"
18,Ti Coffee Park,"{datetime.datetime(2026, 3, 22, 0, 0): [(datetime.datetime(2026, 3, 22, 11, 30), datetime.datetime(2026, 3, 22, 22, 30))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 11, 30), datetime.datetime(2026, 3, 24, 22, 30))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 11, 30), datetime.datetime(2026, 3, 25, 22, 30))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 11, 30), datetime.datetime(2026, 3, 19, 22, 30))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 11, 30), datetime.datetime(2026, 3, 20, 22, 30))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 11, 30), datetime.datetime(2026, 3, 21, 22, 30))]}"
19,賀加小吃店|藥燉排骨、煲仔飯,"{datetime.datetime(2026, 3, 23, 0, 0): [(datetime.datetime(2026, 3, 23, 12, 0), datetime.datetime(2026, 3, 23, 14, 0)), (datetime.datetime(2026, 3, 23, 17, 0), datetime.datetime(2026, 3, 23, 21, 0))], datetime.datetime(2026, 3, 24, 0, 0): [(datetime.datetime(2026, 3, 24, 12, 0), datetime.datetime(2026, 3, 24, 14, 0)), (datetime.datetime(2026, 3, 24, 17, 0), datetime.datetime(2026, 3, 24, 21, 0))], datetime.datetime(2026, 3, 25, 0, 0): [(datetime.datetime(2026, 3, 25, 12, 0), datetime.datetime(2026, 3, 25, 14, 0)), (datetime.datetime(2026, 3, 25, 17, 0), datetime.datetime(2026, 3, 25, 21, 0))], datetime.datetime(2026, 3, 19, 0, 0): [(datetime.datetime(2026, 3, 19, 12, 0), datetime.datetime(2026, 3, 19, 14, 0)), (datetime.datetime(2026, 3, 19, 17, 0), datetime.datetime(2026, 3, 19, 21, 0))], datetime.datetime(2026, 3, 20, 0, 0): [(datetime.datetime(2026, 3, 20, 12, 0), datetime.datetime(2026, 3, 20, 14, 0)), (datetime.datetime(2026, 3, 20, 17, 0), datetime.datetime(2026, 3, 20, 21, 0))], datetime.datetime(2026, 3, 21, 0, 0): [(datetime.datetime(2026, 3, 21, 17, 0), datetime.datetime(2026, 3, 21, 21, 0))]}"
